Title,Title_URL,,,,,,,,,,,,,
"Ultimate Electrical Design Course from Zero to Hero
Learn everything about <strong>electrical</strong> low voltage distribution design without any previous knowledge for complete beginnersRating: 4.5 out of 51716 reviews51.5 total hours211 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,299",https://www.udemy.com/course/apartment-electrical-design-drawing-using-autocad-and-dialux/,,,,,,,,,,,,,
"Etap for Electrical Engineers
Design, Simulate and Analyze Power systems in EtapRating: 4.3 out of 51214 reviews8.5 total hours55 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,699",https://www.udemy.com/course/etap-for-electrical-engineers/,,,,,,,,,,,,,
"Ultimate ETAP Power System Analysis For Electrical Engineer
Comprehensive Guide to Master Power System Design and Analysis: Learn To Resolve Issues Manually and using ETAPRating: 4.5 out of 588 reviews18 total hours74 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,099",https://www.udemy.com/course/advanced-etap-power-system-training-for-electrical-engineers/,,,,,,,,,,,,,
"Etap Complete Course For All Electrical EngineersThe easiest way to become  professional in etap through fully practical training on  industrial and residential diagramsRating: 4.6 out of 536 reviews14.5 total hours102 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,699",https://www.udemy.com/course/practical-power-systems-protection-by-using-etap-software/,,,,,,,,,,,,,
"Ultimate Power System Fault Analysis for Electrical Engineer
Learn everything about <strong>electrical</strong> fault analysis in <strong>electrical</strong> power system and ETAP program for <strong>electrical</strong> engineeringRating: 4.8 out of 5117 reviews12 total hours55 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,899",https://www.udemy.com/course/fundamentals-of-power-system-electrical-engineering-part-1/,,,,,,,,,,,,,
"Electrical Schematics (Industrial Controls)
Learn to read, understand & design power & control circuits. Foundational course to learn <strong>electrical</strong> wiring drawings.Rating: 4.4 out of 52412 reviews2.5 total hours43 lecturesBeginnerCurrent price: ₹549Original price: ₹2,799",https://www.udemy.com/course/electrical-schematics-industrial-controls/,,,,,,,,,,,,,
"AutoCAD Electrical for Automation & Electrical Engineers
Not just AutoCAD <strong>Electrical</strong> commands but VFD, Soft Starter, Starter Circuits, PLC designing included in this course.Rating: 4.1 out of 5170 reviews5.5 total hours17 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,299",https://www.udemy.com/course/autocad-electrical-for-automation-electrical-engineers/,,,,,,,,,,,,,
"Single and 3-Phase electrical circuit basics A to Z
AC / DC Explained, Single / Three-Phase motor circuits, Test Equipment, House Wiring, Ohm's law and fault finding.Rating: 4.6 out of 51016 reviews4.5 total hours108 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,499",https://www.udemy.com/course/single-and-three-phase-electrical-circuit-basics/,,,,,,,,,,,,,
"Advanced Diploma in Electrical Design Engineering
<strong>Electrical</strong> Design Academy: Engineering Training with Practical Examples and Hand-on Training for EPC Sector & MEP SectorRating: 4.2 out of 5675 reviews24.5 total hours138 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,999",https://www.udemy.com/course/advanced-diploma-in-electrical-design-engineering/,,,,,,,,,,,,,
"Complete Electrical Design Engineering Course for Beginners
Complete guide to <strong>Electrical</strong> Design Engineering using AutoCAD, DIALux, ETAP and Excel with Practical ExamplesRating: 4.2 out of 5101 reviews23 total hours120 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,499",https://www.udemy.com/course/complete-electrical-design/,,,,,,,,,,,,,
"Ultimate Electrical Power Protection, Control & Switchgear
Your Complete guide in industrial power system protection for switchgears and substations- from Beginner to Expert LevelRating: 4.5 out of 5665 reviews17 total hours132 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,999",https://www.udemy.com/course/electric-power-protectionswitchgear-and-control-masterclass/,,,,,,,,,,,,,
"Ultimate Electrical Power System Engineering Masterclass
Your complete guide in power system analysis, modelling, load flow and fault studies, for <strong>electrical</strong> power engineeringRating: 4.6 out of 5303 reviews21.5 total hours122 lecturesAll LevelsCurrent price: ₹549Original price: ₹799",https://www.udemy.com/course/ultimate-electrical-power-system-engineering-masterclass/,,,,,,,,,,,,,
"Electrical Course 101
Basic HVAC <strong>Electrical</strong>Rating: 4.6 out of 5321 reviews15 total hours10 lecturesBeginnerCurrent price: ₹499Original price: ₹2,799",https://www.udemy.com/course/electrical-course-101/,,,,,,,,,,,,,
"Fundamentals, Electrical Industrial Controls &Motor Starters
Learn Industrial Control Circuits, Automation, <strong>Electrical</strong> Control; Motor Starters for Control <strong>Engineers</strong> and TechniciansRating: 4.5 out of 5232 reviews5.5 total hours37 lecturesAll LevelsCurrent price: ₹549Original price: ₹799",https://www.udemy.com/course/classic-control-for-industrial-engineers-technicians-2023/,,,,,,,,,,,,,
