Title,Title_URL
"Diploma Course in Human Resource Management (HRM)
Become top-notch HRM Practitioner - Get Live Projects, Ready-to-use Templates, Demos, Quizzes, Articles, Case studiesRating: 4.3 out of 57991 reviews11.5 total hours141 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/essentials-of-human-resource-management1/
"HR Analytics using MS Excel for Human Resource Management
Use Excel for HR Analytics, calculate HR metrics, build HR dashboards &amp; ML models for <strong>Human</strong> Resource &amp; People AnalyticsRating: 4.4 out of 58071 reviews9.5 total hours85 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/hr-analytics-using-excel/
"Ultimate HR Generalist: Certified Human Resource Management
Hands-on HR Certification: All HRM topics. Master EX Design, DEI, Recruitment, Onboarding, Payroll, Engagement, AI, etc.Rating: 4.4 out of 53041 reviews13.5 total hours131 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,499",https://www.udemy.com/course/how-to-be-a-successful-hr/
"Professional in Human Resources (HRCI PHR) Certification
Become an Expert in <strong>Human</strong> <strong>Resources</strong> Management with Our Comprehensive Professional in <strong>Human</strong> <strong>Resources</strong> (PHR) CourseRating: 4.3 out of 5169 reviews29 total hours253 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/professional-in-human-resources-hrci-phr-certification/
"Professional in Human Resources (PHR/SPHR HRCI)
An Exam Preparation Guide to the <strong>Human</strong> Resource Body of KnowledgeRating: 4.2 out of 52041 reviews40.5 total hours621 lecturesBeginnerCurrent price: ₹549Original price: ₹3,099",https://www.udemy.com/course/the-human-resources-certification-program-hrci-phpsphr/
"Introduction to Human Resource Concepts
Introduction to <strong>Human</strong> Resource ConceptsRating: 4.6 out of 54184 reviews8 total hours184 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,099",https://www.udemy.com/course/introduction-to-human-resource-concepts/
"Global Professional in Human Resources (GPHR) Certification
Rating: 4.4 out of 57 reviews20.5 total hours181 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/global-professional-in-human-resources-gphr/
"The Human Resources (HR) Mastery Bundle: 10 Courses In 1
<strong>Human</strong> <strong>Resources</strong> (HR) Excellence: Master Global HR Practices, Onboarding, Talent Management, Employee Retention & More!Rating: 4.5 out of 5545 reviews9 total hours106 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,299",https://www.udemy.com/course/human-resources-hr/
"Master in Human Resources (HR) Management ( HRM)
For HR Generalist, HRBP, sphr, phr, aphr; Internship with certification; <strong>Human</strong> Resource Management Best Practices; HRISRating: 4.4 out of 5778 reviews5 total hours39 lecturesAll LevelsCurrent price: ₹599Original price: ₹3,299",https://www.udemy.com/course/excellent-hr-generalist/
"Certification Course in Human Resource Management
Curriculum commensurate to Top B School’s Management Program : with downloadable <strong>resources</strong>, quiz, assessments &amp; exerciseRating: 4.4 out of 51696 reviews16 total hours95 lecturesIntermediateCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/certification-course-in-human-resource-management/
"Leadership, HR Management | HR Analytics, Project Management
Comprehensive HR Analytics: Leadership, HR Management, Project Management Training for HR Leadership Skill DevelopmentRating: 4.3 out of 5613 reviews21.5 total hours164 lecturesAll LevelsCurrent price: ₹549Original price: ₹799",https://www.udemy.com/course/leadership-hr-management-hr-analytics-project-management/
"Certified Compensation & Payroll Management Professional-24
Basic to Advanced: Certification in Indian Payroll, Compensation Benefits, Income Tax for Payroll and <strong>Human</strong> <strong>Resources</strong>Rating: 4.2 out of 5761 reviews11 total hours91 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/ultimate-comp-payroll/
"Strategic HR Leadership, HR Management & Project Management
A Comprehensive Guide to Aligning HR Strategy, Project Management, and HR Leadership for Personal + Business DevelopmentRating: 4.7 out of 556 reviews36.5 total hours441 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,099",https://www.udemy.com/course/hr-leadership/
"Certification Course in Human Resource Management (HRM)
Excel in the HR domain!Rating: 4.3 out of 52634 reviews4.5 total hours49 lecturesBeginnerCurrent price: ₹599Original price: ₹3,499",https://www.udemy.com/course/certification-course-in-human-resource-management-hrm/
"Leadership, Project Management, HR Management & HR Analytics
Complete Leadership, HR Analytics, HR and Project Management Course for Empowering Individuals and Organizations (16 Hr)Rating: 4.6 out of 5153 reviews16.5 total hours61 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,899",https://www.udemy.com/course/leadership-project-management-hr-management-hr-analytics/
"Strategic Management of Human Resource
A Practical Guide to the Fundamentals of SHRMRating: 4.4 out of 5317 reviews4.5 total hours33 lecturesBeginnerCurrent price: ₹549Original price: ₹2,299",https://www.udemy.com/course/strategic-management-of-human-resource/
"Administrative Human Resources (HR) for Beginners
This course is an introduction to the role and duties of <strong>Human</strong> <strong>Resources</strong> (HR).Rating: 4.5 out of 55961 reviews1 total hour11 lecturesBeginnerCurrent price: ₹549Original price: ₹2,299",https://www.udemy.com/course/administrative-human-resources-for-beginners/
