"selection1_name","selection1_url"
"The Complete 2024 Software Testing Bootcamp
Everything you need to learn about <strong>software</strong> testing and begin your career as a Quality Assurance SpecialistRating: 4.6 out of 531211 reviews34 total hours381 lecturesBeginnerCurrent price: $124.99","https://www.udemy.com/course/testerbootcamp/"
"Software Tester Course - Become an Effective Tester
Project & Job based <strong>Tester</strong>/QA Engineer Course. Manual <strong>Software</strong> Testing, Agile with JIRA, SQL for <strong>Testers</strong> & Interviews.Rating: 4.6 out of 5434 reviews15.5 total hours186 lecturesAll LevelsCurrent price: $89.99","https://www.udemy.com/course/software-tester-course-become-an-effective-tester/"
"Software Testing Masterclass (2024) - From Novice to Expert
Learn <strong>software</strong> testing and become QA Engineer/Agile <strong>Tester</strong>, Mobile/Backend/Web/QA testing, JIRA, TestRail and much more!Rating: 4.5 out of 510829 reviews9.5 total hours100 lecturesAll LevelsCurrent price: $149.99","https://www.udemy.com/course/software-testing-masterclass-from-novice-to-expert/"
"Software Tester: From Zero To Hero!
Become a professional <strong>software</strong> <strong>tester</strong> starting from a scratch.Rating: 4.7 out of 5468 reviews9 total hours42 lecturesAll LevelsCurrent price: $74.99","https://www.udemy.com/course/software-tester-from-zero-to-hero/"
"Manual Software Testing Interview (Q&A for QA)
Improve and deepen knowledge of <strong>software</strong> testing, manual testing, qa (quality assurance) and become a <strong>software</strong> <strong>tester</strong>Rating: 4.9 out of 5143 reviews15.5 total hours135 lecturesBeginnerCurrent price: $84.99","https://www.udemy.com/course/top-10-software-testing-interview-questions-answers/"
"Python: The Complete Guide for Software Testers
Master Python for Testing: Automate Tests, Handle Exceptions, Explore OOP, and Dive into Python LibrariesRating: 4.5 out of 5131 reviews8.5 total hours59 lecturesBeginnerCurrent price: $19.99","https://www.udemy.com/course/python-for-testers/"
"MasterClass Software Testing with Jira & Agile -Be a QA Lead
Straight to the point. 2024 BEST job oriented <strong>Software</strong> Manual Testing course on real time Projects + Interview questionsRating: 4.5 out of 521826 reviews10.5 total hours81 lecturesAll LevelsCurrent price: $129.99","https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/"
"ISTQB® Certified Tester - Foundation Level - 2024
The ONLY ISTQB® Accredited course for the latest syllabus of the Certified <strong>Tester</strong> Foundation Level (CTFL)Rating: 4.6 out of 56065 reviews23.5 total hours121 lecturesAll LevelsCurrent price: $94.99","https://www.udemy.com/course/accredited-istqb-certified-tester-foundation-level-course/"
"ISTQB Foundation Level (CTFL) V4.0 updated 2024
Be an ISTQB certified <strong>tester</strong> and Learn the basics of <strong>Software</strong> testing principles and techniques from the first trialRating: 4.5 out of 535907 reviews8 total hours117 lecturesAll LevelsCurrent price: $149.99","https://www.udemy.com/course/certified-tester-foundation-level-ctfl/"
"Certified QA Tester - Agile, Manual, and Security Concepts
Learn <strong>Software</strong> QA Testing. Review the role of QA <strong>Testers</strong> on agile teams. Includes <strong>software</strong> security testing concepts.Rating: 4.7 out of 521 reviews2.5 total hours13 lecturesAll LevelsCurrent price: $74.99","https://www.udemy.com/course/certified_qa_tester-agile_testing-manual-security-concepts/"
"Top Software Manual Testing Live Project with Complete Guide
Live Project with Real time work Experience - Used Realtime PRD, Sprint, Test cases execution, Bug, JIRA Covered QA LifeRating: 4.7 out of 5152 reviews7 total hours130 lecturesAll LevelsCurrent price: $69.99","https://www.udemy.com/course/software-manual-testing-live-project/"
"Software Manual Testing - Complete course beginner to expert
#BEST <strong>Software</strong> Manual Testing course with Real Time Examples -QA Concepts+ResumePreparation+Interview+Lifetime SupportRating: 4.4 out of 51014 reviews10 total hours137 lecturesIntermediateCurrent price: $84.99","https://www.udemy.com/course/software-manual-testing-course/"
"Software Testing: Get A Tech Job in Software Testing 2024
Testing, Manual Testing, <strong>Software</strong> Testing, Qa, Qa Testing, Quality Assurance, Manual <strong>Software</strong> Testing, Jira &amp; Job tipsRating: 4.5 out of 55130 reviews1.5 total hours20 lecturesAll LevelsCurrent price: $79.99","https://www.udemy.com/course/get-a-job-in-technology-without-experience/"
